role,capture_metric,source_kind,source_path,record_type,record_index,core_id,subcore_id,subcore_type,category,metric,unit,raw_value,numeric_value,is_missing,context_json
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,3,,cube,subblock_detail_origin,Cube FP,3,31349.0,31349.0,false,"{""block_id"": ""3"", ""block_type"": ""cube"", ""name"": ""Cube FP"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,3,,cube,subblock_detail,Cube INT,3,0.0,0.0,false,"{""block_id"": ""3"", ""block_type"": ""cube"", ""name"": ""Cube INT"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,3,,cube,subblock_detail_origin,Cube INT,3,0.0,0.0,false,"{""block_id"": ""3"", ""block_type"": ""cube"", ""name"": ""Cube INT"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,3,,cube,subblock_detail,Cube Wait,3,87.2914047241211,87.2914047241211,false,"{""block_id"": ""3"", ""block_type"": ""cube"", ""name"": ""Cube Wait"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,3,,cube,subblock_detail_origin,Cube Wait,3,43259.0,43259.0,false,"{""block_id"": ""3"", ""block_type"": ""cube"", ""name"": ""Cube Wait"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,4,,cube,subblock_detail,Cube All Active,3,60.802059173583984,60.802059173583984,false,"{""block_id"": ""4"", ""block_type"": ""cube"", ""name"": ""Cube All Active"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,4,,cube,subblock_detail_origin,Cube All Active,3,31369.0,31369.0,false,"{""block_id"": ""4"", ""block_type"": ""cube"", ""name"": ""Cube All Active"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,4,,cube,subblock_detail,Cube FP,3,60.802059173583984,60.802059173583984,false,"{""block_id"": ""4"", ""block_type"": ""cube"", ""name"": ""Cube FP"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,4,,cube,subblock_detail_origin,Cube FP,3,31369.0,31369.0,false,"{""block_id"": ""4"", ""block_type"": ""cube"", ""name"": ""Cube FP"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,4,,cube,subblock_detail,Cube INT,3,0.0,0.0,false,"{""block_id"": ""4"", ""block_type"": ""cube"", ""name"": ""Cube INT"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,4,,cube,subblock_detail_origin,Cube INT,3,0.0,0.0,false,"{""block_id"": ""4"", ""block_type"": ""cube"", ""name"": ""Cube INT"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,4,,cube,subblock_detail,Cube Wait,3,85.69933319091797,85.69933319091797,false,"{""block_id"": ""4"", ""block_type"": ""cube"", ""name"": ""Cube Wait"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,4,,cube,subblock_detail_origin,Cube Wait,3,44214.0,44214.0,false,"{""block_id"": ""4"", ""block_type"": ""cube"", ""name"": ""Cube Wait"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,5,,cube,subblock_detail,Cube All Active,3,60.70792770385742,60.70792770385742,false,"{""block_id"": ""5"", ""block_type"": ""cube"", ""name"": ""Cube All Active"", ""unit"": 3}"
